prototipo;operador;run;flight time 1 (s);flight time 2 (s);flight time 3  (s);tempo medio
1;1;1;1.31;1.33;1.39;1.34333333333333
1;1;2;1.33;1.35;1.2;1.29333333333333
1;1;3;1.15;1.35;1.32;1.27333333333333
1;1;4;1.42;1.46;1.52;1.46666666666667
1;1;5;1.37;1.33;1.38;1.36
2;1;1;1.34;1.39;1.33;1.35333333333333
2;1;2;1.38;1.54;1.61;1.51
2;1;3;1.48;1.43;1.42;1.44333333333333
2;1;4;1.62;1.38;1.45;1.48333333333333
2;1;5;1.53;1.59;1.57;1.56333333333333
3;1;1;1.31;1.42;1.19;1.30666666666667
3;1;2;1.27;1.45;1.52;1.41333333333333
3;1;3;1.2;1.32;1.37;1.29666666666667
3;1;4;1.31;1.22;1.22;1.25
3;1;5;1.4;1.33;1.3;1.34333333333333
4;1;1;1.32;1.28;1.38;1.43666666666667
4;1;2;1.34;1.59;1.35;1.44333333333333
4;1;3;1.41;1.37;1.39;1.49666666666667
4;1;4;1.39;1.32;1.54;1.42333333333333
4;1;5;1.37;1.25;1.44;1.42666666666667
1;2;1;1.38;1.39;1.6;1.45666666666667
1;2;2;1.49;1.48;1.47;1.48
1;2;3;1.57;1.54;1.48;1.53
1;2;4;1.53;1.46;1.47;1.48666666666667
1;2;5;1.39;1.5;1.41;1.43333333333333
2;2;1;1.52;1.61;1.49;1.54
2;2;2;1.55;1.46;1.63;1.54666666666667
2;2;3;1.53;1.56;1.57;1.55333333333333
2;2;4;1.55;1.52;1.44;1.50333333333333
2;2;5;1.58;1.35;1.46;1.46333333333333
3;2;1;1.53;1.51;1.27;1.43666666666667
3;2;2;1.43;1.39;1.34;1.38666666666667
3;2;3;1.4;1.46;1.52;1.46
3;2;4;1.45;1.46;1.43;1.44666666666667
3;2;5;1.42;1.41;1.52;1.45
4;2;1;1.44;1.55;1.32;1.43666666666667
4;2;2;1.51;1.46;1.36;1.44333333333333
4;2;3;1.5;1.48;1.51;1.49666666666667
4;2;4;1.52;1.32;1.43;1.42333333333333
4;2;5;1.53;1.4;1.35;1.42666666666667
